id,name,explanation,broader_concept,strand,source
aae1c055-2800-49b1-bc39-fe1ae8530be6,Pythagorean trigonometric identity,The fundamental identity cos²A + sin²A = 1 relating sine and cosine of the same angle.,Trigonometric identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
2b88fb59-d7cb-487c-b0ba-95f074fac578,Sine rule for triangles,A formula relating the sides and angles of a triangle: a/sin A = b/sin B = c/sin C.,Trigonometric rules for triangles,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
0344b26a-c316-4e64-85b0-f0c09116bfec,Cosine rule for triangles,A formula relating the sides and angles of a triangle: a² = b² + c² – 2bc cos A.,Trigonometric rules for triangles,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
cc5f37b1-3474-4d92-b2af-98e23fc3bcba,Cosine of difference formula,The identity cos(A–B) = cos A cos B + sin A sin B expressing cosine of a difference of angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
54d9ccde-027a-45d5-bffb-81434f805420,Cosine of sum formula,The identity cos(A+B) = cos A cos B – sin A sin B expressing cosine of a sum of angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
cf6ac079-4602-4c06-bbf7-01693215e181,Double angle formula for cosine (cos 2A),The formula cos 2A = cos²A – sin²A expressing cosine of double an angle.,Double angle formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
833d41f8-cdb2-4b8b-aa10-d3aaff8a3c05,Sine of sum formula,The identity sin(A+B) = sin A cos B + cos A sin B expressing sine of a sum of angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
90abef55-4f99-4a72-ad8c-ccf6bf5a8268,Sine of difference formula,The identity sin(A–B) = sin A cos B – cos A sin B expressing sine of a difference of angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
64a913f6-8eb1-4315-89a8-76e5e432b273,Tangent of sum formula,The formula tan(A+B) = (tan A + tan B) / (1 – tan A tan B) expressing tangent of a sum of angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
17fb2eae-d752-40a0-9b4e-1d9abba71037,Tangent of difference formula,The formula tan(A–B) = (tan A – tan B) / (1 + tan A tan B) expressing tangent of a difference of angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
