id,name,explanation,broader_concept,strand,source
8fdf4279-38cc-4b0c-9a34-bd4d364e85df,Pythagorean trigonometric identity,The identity cos^2 A + sin^2 A = 1 relating squares of sine and cosine for any angle A.,Trigonometric identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
5787b49a-e4ac-46fd-a498-b54e2b27daa5,Law of Sines (sine rule),The relationship a/sin A = b/sin B = c/sin C between side lengths and opposite angles in a triangle.,Trigonometry / Triangle geometry,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
04f61f09-d32a-4a83-b0f3-f7d8c8f2515d,Law of Cosines (cosine rule),The formula a^2 = b^2 + c^2 − 2bc cos A relating the sides of a triangle to the cosine of one angle (generalisation of Pythagoras).,Trigonometry / Triangle geometry,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
1d903c4e-3056-4a63-a05c-702a02e378a7,Sum and difference (compound-angle) identities for sine and cosine,"Formulas for sin(A ± B) and cos(A ± B), e.g. sin(A+B)=sin A cos B + cos A sin B and analogous cosine formulas.",Trigonometric identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
ba7e0f6c-4e57-40fa-a69b-ceb678188f7d,Tangent addition and subtraction formulas,Formulas for tan(A ± B) expressed in terms of tan A and tan B (e.g. (tan A + tan B)/(1 − tan A tan B)).,Trigonometric identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
d086f9a4-59cd-43f5-a639-863d67bcdaaf,Double-angle identities,"Identities for sin 2A, cos 2A and tan 2A, including alternate forms (e.g. cos 2A = cos^2 A − sin^2 A = 1 − 2 sin^2 A etc.).",Trigonometric identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
e214f678-e32c-4146-9474-592d57e74622,Power-reduction / half-angle identities,"Identities expressing sin^2 A and cos^2 A in terms of cos 2A (e.g. cos^2 A = 1/2(1 + cos 2A), sin^2 A = 1/2(1 − cos 2A)), and related half-angle forms.",Trigonometric identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
1eee57a6-d182-41c0-889c-a317df486ed9,Product-to-sum identities,"Formulas converting products of sines and cosines into sums, e.g. 2 cos A cos B = cos(A+B)+cos(A−B), 2 sin A sin B = cos(A−B) − cos(A+B).",Trigonometric identities / Transformations,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
7cd55aa0-fe04-4aac-aac0-b975ecaa3ee0,Sum-to-product identities,"Formulas converting sums or differences of sines/cosines into products, e.g. cos A + cos B = 2 cos((A+B)/2) cos((A−B)/2), sin A − sin B = 2 cos((A+B)/2) sin((A−B)/2).",Trigonometric identities / Transformations,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
343a0f95-1b14-4710-9674-ff17909f1662,Derivation / dependency of identities,The procedural concept that some identities are derived from earlier ones and may be used to prove subsequent formulae (proof-order dependency).,Mathematical reasoning / Proof,Mathematical proof and reasoning (applied to Trigonometry),7_Leaving Cert Maths-Trig_Formulae.pdf
