cycle_id,cycle_length,prerequisite_id,dependent_id,prerequisite_name,dependent_name,explanation,source
1,3,8010ddf4-5c83-49d4-ac3f-f12185620850,a5355524-2fa8-4dfc-804b-8ebde71f80fd,Cosine rule for triangle side lengths,Sine rule for triangle side ratios,"Understanding the cosine rule helps in grasping the sine rule, as both rules are used to solve triangles, and knowledge of one can facilitate understanding of the other.",AI_node_analysis_20250707_012452
1,3,a5355524-2fa8-4dfc-804b-8ebde71f80fd,8010ddf4-5c83-49d4-ac3f-f12185620850,Sine rule for triangle side ratios,Cosine rule for triangle side lengths,"The text lists the sine formula before the cosine formula and the cosine rule builds on understanding of triangle side ratios and angles, implying the sine rule is a prerequisite.",7_Leaving Cert Maths-Trig_Formulae.pdf
2,3,a5355524-2fa8-4dfc-804b-8ebde71f80fd,3e8ad8e3-951d-4392-8663-48454c248266,Sine rule for triangle side ratios,investigation and proof of theorems related to ratios,"Learning the sine rule provides a practical application of ratios in triangles, which can enhance understanding of the broader concept of investigating and proving theorems related to ratios.",AI_node_analysis_20250707_013143
2,3,3e8ad8e3-951d-4392-8663-48454c248266,a5355524-2fa8-4dfc-804b-8ebde71f80fd,investigation and proof of theorems related to ratios,Sine rule for triangle side ratios,"Understanding the investigation and proof of theorems related to ratios is essential for grasping the sine rule, as the sine rule itself is based on the ratios of the sides of triangles to the sines of their opposite angles.",AI_node_analysis_20250707_013143
3,4,8010ddf4-5c83-49d4-ac3f-f12185620850,a5355524-2fa8-4dfc-804b-8ebde71f80fd,Cosine rule for triangle side lengths,Sine rule for triangle side ratios,"Understanding the cosine rule helps in grasping the sine rule, as both rules are used to solve triangles, and knowledge of one can facilitate understanding of the other.",AI_node_analysis_20250707_012452
3,4,a5355524-2fa8-4dfc-804b-8ebde71f80fd,3e8ad8e3-951d-4392-8663-48454c248266,Sine rule for triangle side ratios,investigation and proof of theorems related to ratios,"Learning the sine rule provides a practical application of ratios in triangles, which can enhance understanding of the broader concept of investigating and proving theorems related to ratios.",AI_node_analysis_20250707_013143
3,4,3e8ad8e3-951d-4392-8663-48454c248266,8010ddf4-5c83-49d4-ac3f-f12185620850,investigation and proof of theorems related to ratios,Cosine rule for triangle side lengths,"The cosine rule involves ratios of triangle sides and angles, making the investigation and proof of theorems related to ratios foundational for understanding and applying the cosine rule.",AI_node_analysis_20250707_013143
4,3,a5355524-2fa8-4dfc-804b-8ebde71f80fd,8e1a7739-743c-4169-9f24-b4f11776c26c,Sine rule for triangle side ratios,"triangle similarity criteria (AA, SAS proportionality, SSS proportionality)","The sine rule is based on the properties of similar triangles, making the understanding of triangle similarity criteria a prerequisite for effectively using the sine rule.",AI_node_analysis_20250707_033312
4,3,8e1a7739-743c-4169-9f24-b4f11776c26c,a5355524-2fa8-4dfc-804b-8ebde71f80fd,"triangle similarity criteria (AA, SAS proportionality, SSS proportionality)",Sine rule for triangle side ratios,"Understanding triangle similarity criteria is essential for applying the sine rule, as the sine rule relies on the relationships between angles and sides in similar triangles.",AI_node_analysis_20250707_033312
5,4,8010ddf4-5c83-49d4-ac3f-f12185620850,a5355524-2fa8-4dfc-804b-8ebde71f80fd,Cosine rule for triangle side lengths,Sine rule for triangle side ratios,"Understanding the cosine rule helps in grasping the sine rule, as both rules are used to solve triangles, and knowledge of one can facilitate understanding of the other.",AI_node_analysis_20250707_012452
5,4,a5355524-2fa8-4dfc-804b-8ebde71f80fd,8e1a7739-743c-4169-9f24-b4f11776c26c,Sine rule for triangle side ratios,"triangle similarity criteria (AA, SAS proportionality, SSS proportionality)","The sine rule is based on the properties of similar triangles, making the understanding of triangle similarity criteria a prerequisite for effectively using the sine rule.",AI_node_analysis_20250707_033312
5,4,8e1a7739-743c-4169-9f24-b4f11776c26c,8010ddf4-5c83-49d4-ac3f-f12185620850,"triangle similarity criteria (AA, SAS proportionality, SSS proportionality)",Cosine rule for triangle side lengths,"The cosine rule can be derived and understood better when one is familiar with triangle similarity criteria, as it relates to the proportionality of sides in similar triangles.",AI_node_analysis_20250707_033312
6,6,39b22619-da33-4853-91b5-41a85db74da8,f6429b2f-66ea-432e-ab47-e492b52af3c2,Pythagorean identity for sine and cosine,Double angle formula for cosine (cos 2A),"The double angle formula for cosine (cos 2A = cos²A – sin²A) directly uses the squares of sine and cosine, which are related by the Pythagorean identity.",7_Leaving Cert Maths-Trig_Formulae.pdf
6,6,f6429b2f-66ea-432e-ab47-e492b52af3c2,8010ddf4-5c83-49d4-ac3f-f12185620850,Double angle formula for cosine (cos 2A),Cosine rule for triangle side lengths,"The double angle formula can be used in conjunction with the cosine rule to simplify calculations involving angles in triangles, indicating a prerequisite relationship.",AI_node_analysis_20250707_012452
