cycle_id,cycle_length,prerequisite_id,dependent_id,prerequisite_name,dependent_name,explanation,source
1,3,f6429b2f-66ea-432e-ab47-e492b52af3c2,07cb91c8-0144-4370-a071-0f92ab41f348,Double angle formula for cosine (cos 2A),Cosine squared in terms of cosine double angle,Expressing cosine squared in terms of cosine double angle depends on the double angle formula.,9_Texts and Tests 4 Content Manual Redact_Examples_Exercises copy_extracted.txt
1,3,07cb91c8-0144-4370-a071-0f92ab41f348,f6429b2f-66ea-432e-ab47-e492b52af3c2,Cosine squared in terms of cosine double angle,Double angle formula for cosine (cos 2A),"This relationship shows how expressing cos²A in terms of cos 2A directly utilizes the double angle formula, indicating that knowledge of the double angle formula is necessary for this transformation.",AI_node_analysis_20250707_012511
2,4,f6429b2f-66ea-432e-ab47-e492b52af3c2,07cb91c8-0144-4370-a071-0f92ab41f348,Double angle formula for cosine (cos 2A),Cosine squared in terms of cosine double angle,Expressing cosine squared in terms of cosine double angle depends on the double angle formula.,9_Texts and Tests 4 Content Manual Redact_Examples_Exercises copy_extracted.txt
2,4,07cb91c8-0144-4370-a071-0f92ab41f348,7cf2213d-d9d5-4c24-b37a-590b6d48bbcf,Cosine squared in terms of cosine double angle,Sine squared in terms of cosine double angle,"The expression for sine squared in terms of cosine double angle relies on the expression for cosine squared, as it uses the Pythagorean identity to relate the two.",AI_node_analysis_20250707_012609
2,4,7cf2213d-d9d5-4c24-b37a-590b6d48bbcf,f6429b2f-66ea-432e-ab47-e492b52af3c2,Sine squared in terms of cosine double angle,Double angle formula for cosine (cos 2A),"Similar to the previous relationship, expressing sin²A in terms of cos 2A also relies on the double angle formula, establishing a prerequisite connection.",AI_node_analysis_20250707_012511
3,3,07cb91c8-0144-4370-a071-0f92ab41f348,7cf2213d-d9d5-4c24-b37a-590b6d48bbcf,Cosine squared in terms of cosine double angle,Sine squared in terms of cosine double angle,"The expression for sine squared in terms of cosine double angle relies on the expression for cosine squared, as it uses the Pythagorean identity to relate the two.",AI_node_analysis_20250707_012609
3,3,7cf2213d-d9d5-4c24-b37a-590b6d48bbcf,07cb91c8-0144-4370-a071-0f92ab41f348,Sine squared in terms of cosine double angle,Cosine squared in terms of cosine double angle,"Understanding sine squared in terms of cosine double angle requires knowledge of how cosine squared is expressed in relation to cosine double angle, as both concepts are interconnected through the Pythagorean identity.",AI_node_analysis_20250707_012609
4,4,8010ddf4-5c83-49d4-ac3f-f12185620850,d32a4c15-1c5b-49f4-b32d-949431fc3b7b,Cosine rule for triangle side lengths,solving trigonometric problems in three dimensions,Solving 3D problems uses the cosine rule to find unknown sides and angles in spatial triangles.,8_Texts and Tests 4 Index.pdf
4,4,d32a4c15-1c5b-49f4-b32d-949431fc3b7b,88d476f7-04c2-41ae-8390-49b8c8ee96d3,solving trigonometric problems in three dimensions,use of trigonometric ratios in right-angled triangles,"Solving 3D trigonometric problems often involves decomposing three-dimensional figures into right triangles, making the understanding of trigonometric ratios in right triangles a prerequisite.",AI_node_analysis_20250707_013035
4,4,88d476f7-04c2-41ae-8390-49b8c8ee96d3,8010ddf4-5c83-49d4-ac3f-f12185620850,use of trigonometric ratios in right-angled triangles,Cosine rule for triangle side lengths,The cosine rule generalizes trigonometric calculations to any triangle using side lengths and included angles.,9_Texts and Tests 4 Content Manual Redact_Examples_Exercises copy_extracted.txt
5,3,d32a4c15-1c5b-49f4-b32d-949431fc3b7b,88d476f7-04c2-41ae-8390-49b8c8ee96d3,solving trigonometric problems in three dimensions,use of trigonometric ratios in right-angled triangles,"Solving 3D trigonometric problems often involves decomposing three-dimensional figures into right triangles, making the understanding of trigonometric ratios in right triangles a prerequisite.",AI_node_analysis_20250707_013035
5,3,88d476f7-04c2-41ae-8390-49b8c8ee96d3,d32a4c15-1c5b-49f4-b32d-949431fc3b7b,use of trigonometric ratios in right-angled triangles,solving trigonometric problems in three dimensions,The foundational knowledge of trigonometric ratios in right triangles is necessary for tackling more complex problems in three dimensions that rely on these basic principles.,AI_node_analysis_20250707_013035
6,3,8010ddf4-5c83-49d4-ac3f-f12185620850,3e8ad8e3-951d-4392-8663-48454c248266,Cosine rule for triangle side lengths,investigation and proof of theorems related to ratios,"The cosine rule serves as a specific example of how ratios apply in triangle geometry, thus reinforcing the principles involved in the investigation and proof of theorems related to ratios.",AI_node_analysis_20250707_013143
