id,prerequisite_id,dependent_id,prerequisite_name,dependent_name,explanation,source
ae1a0b0e-e65a-4308-a75b-6ac384bd14f0,12acbf1b-b658-4b98-a39b-80770712117d,19ae2b47-ac58-41d3-81f2-821af09ccef3,single-digit addition,multi-digit addition,Multi-digit addition builds on the understanding of adding single-digit numbers as shown by examples of both single-digit and multi-digit addition.,sample_mathematics.md
7496f9d5-655c-4d43-b226-84758058c4d6,d7b19898-403c-41d1-b792-c66f885fbec6,6b3a9130-a795-4c20-bc3c-b2963f048c26,single-digit subtraction,multi-digit subtraction,"Multi-digit subtraction depends on the ability to subtract single-digit numbers, as subtraction examples include both single-digit and multi-digit cases.",sample_mathematics.md
f286960e-3dc3-44d4-a09b-0785c24138fb,12acbf1b-b658-4b98-a39b-80770712117d,4e48ae0a-4867-4717-9ca5-660ba2f6a546,single-digit addition,multiplication as repeated addition,"Multiplication is introduced as repeated addition, which requires understanding addition first.",sample_mathematics.md
e54543e8-00e3-4c3f-9f4d-a46adf740a2a,4e48ae0a-4867-4717-9ca5-660ba2f6a546,5d30e04b-c8af-4de1-96e1-a553ee27191b,multiplication as repeated addition,division as inverse of multiplication,"Division is defined as the inverse operation of multiplication, so understanding multiplication is necessary before learning division.",sample_mathematics.md
3e34d25d-9b74-4771-8d9b-7113365284e5,adba9b1c-9548-4d3a-bf68-8f8c2e7b6f50,f66b51cf-a727-4243-a7e5-2cf31c677c50,fraction numerator,addition of fractions with common denominators,Adding fractions with common denominators requires understanding the numerator as the part being added.,sample_mathematics.md
0e232e41-1a51-4f35-a0e5-da4b9824274f,45e1e315-359b-4828-ae13-fbf03f665a8e,f66b51cf-a727-4243-a7e5-2cf31c677c50,fraction denominator,addition of fractions with common denominators,Adding fractions with common denominators requires understanding the denominator as the total number of parts.,sample_mathematics.md
9e0babae-702b-449f-b481-58a074022ea8,adba9b1c-9548-4d3a-bf68-8f8c2e7b6f50,a69a9b92-8e78-42c5-b867-65bf2520fd71,fraction numerator,multiplication of fractions,"Multiplying fractions involves multiplying the numerators, so understanding the numerator is necessary.",sample_mathematics.md
37a90914-d5c6-417c-a7f2-699aea31ca1e,45e1e315-359b-4828-ae13-fbf03f665a8e,a69a9b92-8e78-42c5-b867-65bf2520fd71,fraction denominator,multiplication of fractions,"Multiplying fractions involves multiplying the denominators, so understanding the denominator is necessary.",sample_mathematics.md
fc7c88d8-9544-4951-868e-86cf2b71d633,fcb5bd91-4a04-4c9f-9ece-46796146205b,80cef1a9-ecfd-4ebb-9ddd-2c9305ceabe5,variable as unknown symbol,linear algebraic expressions,Linear algebraic expressions involve variables as unknown symbols combined with constants.,sample_mathematics.md
6557be7d-806f-4fb5-85a9-037e59490464,80cef1a9-ecfd-4ebb-9ddd-2c9305ceabe5,38e6b132-c3bf-4530-a9a9-63c66a9562e3,linear algebraic expressions,solving one-step linear equations,Solving one-step linear equations requires understanding linear algebraic expressions to isolate the variable.,sample_mathematics.md
586ef81d-22dd-45fd-902a-147b2d2d5a9b,38e6b132-c3bf-4530-a9a9-63c66a9562e3,e305e091-f643-4726-9c41-3cbd49a7b281,solving one-step linear equations,function as input-output relationship,Understanding functions as input-output relationships builds on the concept of variables and equations.,sample_mathematics.md
7e406887-1e39-470e-b6c5-2a0adf96fc28,e305e091-f643-4726-9c41-3cbd49a7b281,4a124e17-6761-44db-a91b-8d535ed56ea4,function as input-output relationship,linear function,Linear functions are a specific type of function defined by a linear equation.,sample_mathematics.md
77f243a6-15b2-44e9-a0b4-dda1f81d9d9d,4a124e17-6761-44db-a91b-8d535ed56ea4,0ed4398d-9af8-45a1-b4c3-64f0521d15ab,linear function,slope of a linear function,The slope is a component of the linear function equation representing rate of change.,sample_mathematics.md
2edeb4fc-fdc0-4ad0-ad4f-9eff3486e775,4a124e17-6761-44db-a91b-8d535ed56ea4,ab4b0ef5-c6dd-405d-b7b6-147132fe0535,linear function,y-intercept of a linear function,The y-intercept is a component of the linear function equation representing where the line crosses the y-axis.,sample_mathematics.md
6fdba9c2-46ca-441a-b2ed-39a90b356f82,e83cdcc1-6ecc-41af-9b59-abe5de671852,ad6e338c-6111-424b-9a9a-cede3af125e5,circle radius,area of a circle,Calculating the area of a circle requires understanding the radius as the input to the formula πr².,sample_mathematics.md
51d2723d-5fa9-4301-89bd-bb89b1a9e48e,e83cdcc1-6ecc-41af-9b59-abe5de671852,8d39243b-bf4b-4c28-8297-06fbe6f86add,circle radius,circumference of a circle,Calculating the circumference of a circle requires understanding the radius as the input to the formula 2πr.,sample_mathematics.md
8b84d715-a35d-491a-b57a-b35690af2fed,fc61c817-7f05-4613-ac23-1459daa0bedc,dd15a440-04f3-484e-842f-a6378e2174c1,hypotenuse of right triangle,Pythagorean theorem,"The Pythagorean theorem relates the hypotenuse to the other sides of a right triangle, so understanding the hypotenuse is necessary.",sample_mathematics.md
